"SCORE Banks - List of SCORE banks with associated services (FIN, FileAct RealTime, FileAct Store""n""Forward)",,,,,,,
UPDATED SEP2022,,,,,,,
The information provided here is for guidance purposes only and may not be 100% accurate. SWIFT shall not be responsible for any loss whatsoever sustained by any person or business that relies on this information,,,,,,,
,,,,,2231,853,784
SCBLPKKX,STANDARD CHARTERED BANK (PAKISTAN) LIMITED,PAKISTAN,SCBLPKKX,STANDARD CHARTERED BANK,YES,,YES
SCBLQAQX,STANDARD CHARTERED BANK,QATAR,SCBLQAQX,STANDARD CHARTERED BANK,YES,,YES
SCBLSG22,STANDARD CHARTERED BANK,SINGAPORE,SCBLSGSG,STANDARD CHARTERED BANK,YES,,
SCBLSLFR,STANDARD CHARTERED BANK SIERRA LEONE LTD,SIERRA LEONE,SCBLSLFR,STANDARD CHARTERED BANK,YES,,YES
SCBLTHBX,STANDARD CHARTERED BANK (THAI) PCL,THAILAND,SCBLTHBX,STANDARD CHARTERED BANK,YES,,YES
SCBLTWTP,STANDARD CHARTERED BANK (TAIWAN) LIMITED,"TAIWAN, REPUBLIC OF CHINA",SCBLTWTP,STANDARD CHARTERED BANK,YES,,YES
SCBLTZTX,STANDARD CHARTERED BANK TANZANIA LIMITED,"TANZANIA, UNITED REPUBLIC OF",SCBLTZTX,STANDARD CHARTERED BANK,YES,,YES
SCBLUGKA,STANDARD CHARTERED BANK UGANDA LTD,UGANDA,SCBLUGKA,STANDARD CHARTERED BANK,YES,,YES
SCBLUS33,STANDARD CHARTERED BANK,UNITED STATES,SCBLUS33,STANDARD CHARTERED BANK,YES,YES,YES
SCBLUS66,STANDARD CHARTERED BANK,UNITED STATES,SCBLUS66,STANDARD CHARTERED BANK,YES,,YES
SCBLVNVX,STANDARD CHARTERED BANK (VIETNAM) LIMITED,VIET NAM,SCBLVNVX,STANDARD CHARTERED BANK,YES,,YES
SCBLZAJJ,STANDARD CHARTERED BANK,SOUTH AFRICA,SCBLZAJJ,STANDARD CHARTERED BANK,YES,,YES
SCBLZMLX,STANDARD CHARTERED BANK ZAMBIA PLC,ZAMBIA,SCBLZMLX,STANDARD CHARTERED BANK,YES,,YES
SCBLZWHX,STANDARD CHARTERED BANK ZIMBABWE LIMITED,ZIMBABWE,SCBLZWHX,STANDARD CHARTERED BANK,YES,,YES
SCHBBWGX,STANDARD CHARTERED BANK BOTSWANA LTD,BOTSWANA,SCHBBWGX,STANDARD CHARTERED BANK,YES,,YES
SCIMLULL,SCHRODER INVESTMENT MANAGEMENT (EUROPE) S.A.,LUXEMBOURG,SCIMLULL,SCHRODER INVESTMENT MANAGEMENT LTD,YES,,
SCSBTWTP,SHANGHAI COMMERCIAL & SAVINGS BANK LIMITED,"TAIWAN, REPUBLIC OF CHINA",SCSBTWTP,SHANGHAI COMMERCIAL & SAVINGS BANK LIMITED,YES,,
SEAVVNVX,SOUTHEAST ASIA COMMERCIAL JOINT STOCK BANK,VIET NAM,SEAVVNVX,SOUTHEAST ASIA COMMERCIAL JOINT STOCK BANK,YES,,
SEBKLULL,INTESA SANPAOLO BANK LUXEMBOURG S.A,LUXEMBOURG,SEBKLULL,INTESA SANPAOLO SPA,YES,,
SEBPRU2P,SEB BANK,RUSSIAN FEDERATION,SEBPRU2P,SKANDINAVISKA ENSKILDA BANKEN AB,YES,,
SEICUS33,SEI PRIVATE TRUST COMPANY,UNITED STATES,SEICUS33,SEI PRIVATE TRUST COMPANY,YES,,
SEKETR2A,SEKERBANK T.A.S.,TURKEY,SEKETR2A,SEKERBANK T.A.S.,YES,,
SELBIT2B,BANCA SELLA SPA,ITALY,SELBIT2B,BANCA SELLA HOLDING SPA,YES,,
SETCPHMM,SECURITY BANK CORPORATION,PHILIPPINES,SETCPHMM,SECURITY BANK CORPORATION,YES,,YES
SGABATWW,SOCIETE GENERALE ZWEIGNIEDERLASSUNG WIEN,AUSTRIA,SGABATWW,SOCIETE GENERALE,YES,,
SGABBEB2,SOCIETE GENERALE (SUCCURSALE DE LA GENERALE FRANCE),BELGIUM,SGABBEB2,SOCIETE GENERALE,YES,YES,
SGABCHZZ,"SOCIETE GENERALE, PARIS, ZWEIGNIEDERLASSUNG ZURICH",SWITZERLAND,SGABCHZZ,SOCIETE GENERALE,YES,YES,
SGABLULL,SOCIETE GENERALE LUXEMBOURG,LUXEMBOURG,SGABLULL,SOCIETE GENERALE,YES,,
SGBLAU2S,ST.GEORGE BANK Westpac Banking Corporation,AUSTRALIA,SGBLAU2S,WESTPAC BANKING CORPORATION,YES,,
SGCICIAB,SOCIETE GENERALE COTE D?IVOIRE,COTE D'IVOIRE,SGCICIAB,SOCIETE GENERALE,YES,YES,
SGCLCNBJ,SOCIETE GENERALE (CHINA) LIMITED,CHINA,SGCLCNBJ,SOCIETE GENERALE,YES,YES,
SGESGB2L,FIS GLOBAL EXECUTION SERVICES LIMITED,UNITED KINGDOM,SGESGB2L,FIS BROKERAGE AND SECURITIES SERVICES LLC,YES,,YES
SGLILBBX,SOCIETE GENERALE DE BANQUE AU LIBAN S.A.L.,LEBANON,SGLILBBX,SOCIETE GENERALE DE BANQUE AU LIBAN S.A.L.,YES,YES,
SGMBMAMC,SOCIETE GENERALE MAROCAINE DE BANQUES,MOROCCO,SGMBMAMC,SOCIETE GENERALE,YES,YES,
SGNPJPJT,SOCIETE GENERALE SECURITIES JAPAN LIMITED,JAPAN,SGNPJPJT,SOCIETE GENERALE,YES,,
SGSBALTX,RAIFFEISEN BANK SH.A.,ALBANIA,SGSBALTX,RAIFFEISEN BANK INTERNATIONAL AG,YES,,
SGSNSNDA,SOCIETE GENERALE SENEGAL,SENEGAL,SGSNSNDA,SOCIETE GENERALE,YES,,
SHBKCNBJ,SHINHAN BANK(CHINA) LTD,CHINA,SHBKCNBJ,SHINHAN BANK,YES,YES,YES
SHBKDEFF,SHINHAN BANK EUROPE GMBH,GERMANY,SHBKDEFF,SHINHAN BANK,YES,YES,YES
SHBKGB2L,"SHINHAN BANK, LONDON BRANCH",UNITED KINGDOM,SHBKGB2L,SHINHAN BANK,YES,YES,YES
SHBKHKHX,"SHINHAN BANK, HONG KONG BRANCH",HONG KONG,SHBKHKHX,SHINHAN BANK,YES,YES,YES
SHBKINBB,SHINHAN BANK,INDIA,SHBKINBB,SHINHAN BANK,YES,YES,YES
SHBKJPJX,SHINHAN BANK,JAPAN,SHBKJPJX,SHINHAN BANK,YES,YES,YES
SHBKKHPP,SHINHAN BANK (CAMBODIA) PLC,CAMBODIA,SHBKKHPP,SHINHAN BANK,YES,YES,YES
SHBKKRSE,SHINHAN BANK,"KOREA, REPUBLIC OF",SHBKKRSE,SHINHAN BANK,YES,YES,YES
SHBKKZKA,SHINHAN BANK KAZAKHSTAN JSC,KAZAKHSTAN,SHBKKZKA,SHINHAN BANK,YES,YES,YES
SHBKSGSG,"SHINHAN BANK, SINGAPORE BRANCH",SINGAPORE,SHBKSGSG,SHINHAN BANK,YES,YES,YES
SHBKUS33,SHINHAN BANK,UNITED STATES,SHBKUS33,SHINHAN BANK,YES,YES,YES
SHBKUS6L,SHINHAN BANK AMERICA,UNITED STATES,SHBKUS6L,SHINHAN BANK,YES,YES,YES
SHBKVNVX,SHINHAN BANK VIETNAM LIMITED,VIET NAM,SHBKVNVX,SHINHAN BANK,YES,YES,YES
SICOTHBK,"SIAM COMMERCIAL BANK PCL., THE",THAILAND,SICOTHBK,"SIAM COMMERCIAL BANK PCL., THE",YES,YES,YES
SIGNUS33,SIGNATURE BANK,UNITED STATES,SIGNUS33,SIGNATURE BANK,YES,,
SINSUS3N,SANTANDER INVESTMENT SECURITIES INC.,UNITED STATES,SINSUS3N,BANCO SANTANDER S.A,YES,,
SISLISRE,CENTRAL BANK OF ICELAND,ICELAND,SISLISRE,CENTRAL BANK OF ICELAND,YES,,
SIVBCIAB,SOCIETE IVOIRIENNE DE BANQUE,COTE D'IVOIRE,SIVBCIAB,ATTIJARIWAFA BANK (FORMERLY BANQUE COMMERCIALE DU MAROC),YES,,YES
SKBASI2X,SKB BANKA D.D LJUBLJANA,SLOVENIA,SKBASI2X,OTP BANK PLC.,YES,,
SLBZCHZZ,SBERBANK (SWITZERLAND) AG,SWITZERLAND,SLBZCHZZ,SBERBANK (SWITZERLAND) AG,YES,,
SLCBSLFR,"SIERRA LEONE COMMERCIAL BANK, LTD.",SIERRA LEONE,SLCBSLFR,"SIERRA LEONE COMMERCIAL BANK, LTD.",YES,,
SLLULULL,SWISS LIFE (LUXEMBOURG) S.A.,LUXEMBOURG,SLLULULL,SWISS LIFE ASSET MANAGEMENT AG,YES,,
SMBCAEAD,SUMITOMO MITSUI BANKING CORPORATION,UNITED ARAB EMIRATES,SMBCAEAD,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,YES,
SMBCAU2S,SUMITOMO MITSUI BANKING CORPORATION SYDNEY BRANCH,AUSTRALIA,SMBCAU2S,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,,
SMBCBEBB,SUMITOMO MITSUI BANKING CORPORATION,BELGIUM,SMBCBEBB,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,YES,
SMBCCN22,"SUMITOMO MITSUI BANKING CORPORATION (CHINA) LIMITED, GUANGZHOU BRANCH",CHINA,SMBCCN22,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,,
SMBCCN2H,SUMITOMO MITSUI BANKING CORPORATION (CHINA) LTD HANGZHOU BRANCH,CHINA,SMBCCN2H,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,,
SMBCCNBJ,SUMITOMO MITSUI BANKING CORPORATION (CHINA) LIMITED BEIJING BRANCH,CHINA,SMBCCNBJ,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,,
SMBCCNBS,SUMITOMO MITSUI BANKING CORPORATION (CHINA) LIMITED SHENZHEN BRANCH,CHINA,SMBCCNBS,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,,
SMBCCNBT,SUMITOMO MITSUI BANKING CORPORATION (CHINA) LTD TIANJIN BRANCH,CHINA,SMBCCNBT,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,,
SMBCCNSH,SUMITOMO MITSUI BANKING CORPORATION (CHINA) LIMITED,CHINA,SMBCCNSH,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,,
SMBCCNSU,SUMITOMO MITSUI BANKING CORPORATION (CHINA) LIMITED SUZHOU BRANCH,CHINA,SMBCCNSU,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,,
SMBCDEDD,SUMITOMO MITSUI BANKING CORPORATION,GERMANY,SMBCDEDD,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,YES,
SMBCDEFF,SMBC BANK EU AG,GERMANY,SMBCDEFF,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,YES,
SMBCFRPP,SMBC BANK INTERNATIONAL PLC PARIS BRANCH,FRANCE,SMBCFRPP,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,YES,
SMBCGB2L,SMBC BANK INTERNATIONAL PLC,UNITED KINGDOM,SMBCGB2L,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,YES,
SMBCHKHH,SUMITOMO MITSUI BANKING CORPORATION,HONG KONG,SMBCHKHH,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,,
SMBCINDD,SUMITOMO MITSUI BANKING CORPORATION NEW DELHI BRANCH,INDIA,SMBCINDD,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,,
SMBCITMM,SMBC BANK EU AG MILAN BRANCH,ITALY,SMBCITMM,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,,
SMBCJPJT,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),JAPAN,SMBCJPJT,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,YES,YES
SMBCKRSE,SUMITOMO MITSUI BANKING CORPORATION Mirae Asset CENTER1 West Tower,"KOREA, REPUBLIC OF",SMBCKRSE,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,,
SMBCMMMY,SUMITOMO MITSUI BANKING CORPORATION YANGON BRANCH,MYANMAR,SMBCMMMY,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,,
SMBCMYKL,SUMITOMO MITSUI BANKING CORPORATION MALAYSIA BERHAD,MALAYSIA,SMBCMYKL,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,,
SMBCRUMM,JSC SUMITOMO MITSUI RUS BANK,RUSSIAN FEDERATION,SMBCRUMM,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,,
SMBCSGSG,"SUMITOMO MITSUI BANKING CORPORATION (FORMERLY THE SAKURA BANK, LTD)",SINGAPORE,SMBCSGSG,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,,
SMBCTHBK,SUMITOMO MITSUI BANKING CORPORATION,THAILAND,SMBCTHBK,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,,
SMBCTWTP,SUMITOMO MITSUI BANKING CORPORATION TAIPEI BRANCH,"TAIWAN, REPUBLIC OF CHINA",SMBCTWTP,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,,
SMBCUS33,SUMITOMO MITSUI BANKING CORPORATION,UNITED STATES,SMBCUS33,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,YES,
SMBCVNVX,SUMITOMO MITSUI BANKING CORPORATION HO CHI MINH CITY BRANCH,VIET NAM,SMBCVNVX,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,,
SMCTFR2A,SOCIETE MARSEILLAISE DE CREDIT,FRANCE,SMCTFR2A,SOCIETE GENERALE,YES,,
SMFDIE2D,SUMITOMO MITSUI FINANCE (DUBLIN) LTD,IRELAND,SMFDIE2D,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,,
SMHBDEFF,UBS EUROPE SE,GERMANY,UBSWDEFF,UBS GROUP AG,YES,,
SMPOLT22,DANSKE BANK A/S LIETUVOS FILIALAS,LITHUANIA,SMPOLT22,DANSKE BANK A/S,YES,YES,YES
SMTOCATT,"SUMITOMO MITSUI BANKING CORPORATION, CANADA BRANCH",CANADA,SMTOCATT,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,,
SNBZCHZZ,SCHWEIZERISCHE NATIONALBANK,SWITZERLAND,SNBZCHZZ,SCHWEIZERISCHE NATIONALBANK,YES,,YES
SNCBBHBM,"THE SAUDI NATIONAL BANK, BAHRAIN BRANCH",BAHRAIN,SNCBBHBM,THE SAUDI NATIONAL BANK,YES,YES,YES
SNTRUS3A,TRUIST BANK,UNITED STATES,BRBTUS33,TRUIST BANK,YES,YES,YES
SOCBPFTX,BANQUE SOCREDO,FRENCH POLYNESIA,SOCBPFTX,BANQUE SOCREDO,YES,YES,
SOGEDEFF,SOCIETE GENERALE S.A.,GERMANY,SOGEDEFF,SOCIETE GENERALE,YES,YES,
SOGEDZAL,SOCIETE GENERALE ALGERIE SPA,ALGERIA,SOGEDZAL,SOCIETE GENERALE,YES,,
SOGEESMM,SOCIETE GENERALE SUCURSAL EN ESPANA,SPAIN,SOGEESMM,SOCIETE GENERALE,YES,YES,
SOGEFRPP,SOCIETE GENERALE,FRANCE,SOGEFRPP,SOCIETE GENERALE,YES,YES,YES
SOGEGB2L,SOCIETE GENERALE,UNITED KINGDOM,SOGEGB2L,SOCIETE GENERALE,YES,YES,
SOGEGB44,SOCIETE GENERALE LONDON BRANCH,UNITED KINGDOM,SOGEGB22,SOCIETE GENERALE,YES,,
SOGEGPGP,BANQUE DES CARAIBES,GUADELOUPE,SOGEGPGP,BANQUE DES CARAIBES,YES,,
SOGEHKHH,SOCIETE GENERALE HONG KONG BRANCH,HONG KONG,SOGEHKHH,SOCIETE GENERALE,YES,YES,
SOGEITMM,SOCIETE GENERALE S.A,ITALY,SOGEITMM,SOCIETE GENERALE,YES,YES,
SOGEJPJT,SOCIETE GENERALE,JAPAN,SOGEJPJT,SOCIETE GENERALE,YES,,
SOGEKRSE,"SOCIETE GENERALE, SEOUL BRANCH","KOREA, REPUBLIC OF",SOGEKRSE,SOCIETE GENERALE,YES,,
SOGENL2A,SOCIETE GENERALE,NETHERLANDS,SOGENL2A,SOCIETE GENERALE,YES,YES,
SOGEPLPW,SOCIETE GENERALE SPOLKA AKCYJNA ODDZIAL W POLSCE,POLAND,SOGEPLPW,SOCIETE GENERALE,YES,,
SOGESGSG,"SOCIETE GENERALE, SINGAPORE BRANCH",SINGAPORE,SOGESGSG,SOCIETE GENERALE,YES,,
SOGEUS33,SOCIETE GENERALE,UNITED STATES,SOGEUS33,SOCIETE GENERALE,YES,,
SOLADEST,LANDESBANK BADEN-WUERTTEMBERG,GERMANY,SOLADEST,LANDESBANK BADEN-WUERTTEMBERG,YES,YES,YES
SOLAGB2L,LANDESBANK BADEN-WUERTTEMBERG,UNITED KINGDOM,SOLAGB2L,LANDESBANK BADEN-WUERTTEMBERG,YES,,
SOLASGSG,LANDESBANK BADEN-WUERTTEMBERG,SINGAPORE,SOLASGSG,LANDESBANK BADEN-WUERTTEMBERG,YES,,
SPARNO22,SPAREBANKEN MOERE,NORWAY,SPARNO22,SPAREBANKEN MOERE,YES,,
SPDBCNSH,SHANGHAI PUDONG DEVELOPMENT BANK,CHINA,SPDBCNSH,SHANGHAI PUDONG DEVELOPMENT BANK,YES,YES,YES
SPSONO22,SPAREBANKEN SOR,NORWAY,SPSONO22,SPAREBANKEN SOR,YES,,
SQARUS33,PACIFIC WESTERN BANK,UNITED STATES,FNSDUS6D,PACIFIC WESTERN BANK,YES,,
SSBSAU2S,CITIGROUP GLOBAL MARKETS AUSTRALIA PTY LIMITED,AUSTRALIA,SSBSAU2S,CITIBANK N.A.,YES,YES,YES
SSBSZAJJ,CITIGROUP GLOBAL MARKETS (PTY) LTD,SOUTH AFRICA,SSBSZAJJ,CITIBANK N.A.,YES,,YES
SSEBGHAC,SOCIETE GENERALE GHANA PLC,GHANA,SSEBGHAC,SOCIETE GENERALE,YES,YES,
SSKMDEMM,STADTSPARKASSE MUENCHEN,GERMANY,SSKMDEMM,STADTSPARKASSE MUENCHEN,YES,YES,YES
STBCGB2L,"SUMITOMO MITSUI TRUST BANK, LIMITED",UNITED KINGDOM,STBCGB2L,"SUMITOMO MITSUI TRUST BANK,LIMITED",YES,,
STBCSGSG,"SUMITOMO MITSUI TRUST BANK, LIMITED SINGAPORE BRANCH",SINGAPORE,STBCSGSG,"SUMITOMO MITSUI TRUST BANK,LIMITED",YES,,
STBCUS33,"SUMITOMO MITSUI TRUST BANK,LIMITED",UNITED STATES,STBCUS33,"SUMITOMO MITSUI TRUST BANK,LIMITED",YES,,
STCBMUMU,SBM BANK (MAURITIUS) LTD,MAURITIUS,STCBMUMU,SBM BANK (MAURITIUS) LTD,YES,,
STDMDMDM,STANDARD COMMERCE BANK LTD.,DOMINICA,STDMDMDM,STANDARD COMMERCE BANK LTD.,YES,YES,YES
STETUS33,"WEBSTER BANK, N.A.",UNITED STATES,STETUS33,"WEBSTER BANK, N.A.",YES,,
STGBPAPA,"ST. GEORGES BANK AND COMPANY, INC.",PANAMA,STGBPAPA,BANCO DE LA PRODUCCION S.A. PRODUBANCO,YES,,
STOBMK2X,STOPANSKA BANKA A.D. skopje,NORTH MACEDONIA,STOBMK2X,NATIONAL BANK OF GREECE SA,YES,,
STSABGSF,DSK BANK AD,BULGARIA,STSABGSF,OTP BANK PLC.,YES,,
STSPAT2G,STEIERMAERKISCHE BANK UND SPARKASSEN AG,AUSTRIA,STSPAT2G,STEIERMAERKISCHE BANK UND SPARKASSEN AG,YES,,
SUBASKBX,VSEOBECNA UVEROVA BANKA A.S,SLOVAKIA,SUBASKBX,INTESA SANPAOLO SPA,YES,YES,YES
SUNDUS33,FIS BROKERAGE AND SECURITIES SERVICES LLC,UNITED STATES,SUNDUS33,FIS BROKERAGE AND SECURITIES SERVICES LLC,YES,,
SUNDUS3B,FIS BROKERAGE AND SECURITIES SERVICES LLC,UNITED STATES,SUNDUS33,FIS BROKERAGE AND SECURITIES SERVICES LLC,YES,YES,YES
SUNIIDJA,PT BANK BTPN TBK,INDONESIA,SUNIIDJA,SUMITOMO MITSUI BANKING CORPORATION (FORMERLY SUMITOMO BANK),YES,,
SURIUYMM,BANQUE HERITAGE (URUGUAY) S.A.,URUGUAY,SURIUYMM,BANQUE HERITAGE (URUGUAY) S.A.,YES,,
SVBKUS6S,SILICON VALLEY BANK,UNITED STATES,SVBKUS6S,SILICON VALLEY BANK,YES,,
SVRNUS33,"SANTANDER BANK, N.A",UNITED STATES,SVRNUS33,BANCO SANTANDER S.A,YES,YES,YES
SWEDDKKK,SWEDBANK AB,DENMARK,SWEDDKKK,SWEDBANK AB,YES,,
SWEDNOKK,SWEDBANK AB,NORWAY,SWEDNOKK,SWEDBANK AB,YES,,
SWEDSESS,SWEDBANK AB,SWEDEN,SWEDSESS,SWEDBANK AB,YES,YES,YES
SWILFRPP,SWISSLIFE BANQUE PRIVEE,FRANCE,SWILFRPP,SWISS LIFE ASSET MANAGEMENT AG,YES,,
SWLCLI22,SWISS LIFE (LIECHTENSTEIN) AG,LIECHTENSTEIN,SWLCLI22,SWISS LIFE ASSET MANAGEMENT AG,YES,,
SWLPLULL,SWISS LIFE PRODUCTS (LUXEMBOURG) S.A.,LUXEMBOURG,SWLPLULL,SWISS LIFE ASSET MANAGEMENT AG,YES,,
SWRILULL,SWISS RE INTERNATIONAL SE,LUXEMBOURG,SWRILULL,SWISS REINSURANCE COMPANY LTD,YES,,
SXPYDKKK,"BANKING CIRCLE DENMARK FILIAL AF BANKING CIRCLE S.A., LUXEMBOURG",DENMARK,SXPYDKKK,BANKING CIRCLE S.A.,YES,,
SYCBCNBY,"SHENGJING BANK CO.,LTD",CHINA,SYCBCNBY,"SHENGJING BANK CO.,LTD",YES,YES,YES
SZDBCNBS,"PING AN BANK CO., LTD.",CHINA,SZDBCNBS,"PING AN BANK CO., LTD.",YES,YES,YES
TACBTWTP,TAIWAN COOPERATIVE BANK LTD,"TAIWAN, REPUBLIC OF CHINA",TACBTWTP,TAIWAN COOPERATIVE BANK LTD,YES,,
TATRSKBX,TATRA BANK,SLOVAKIA,TATRSKBX,RAIFFEISEN BANK INTERNATIONAL AG,YES,,
TBCBGE22,JSC - TBC Bank,GEORGIA,TBCBGE22,JSC - TBC Bank,YES,,
TCABKHPP,J TRUST ROYAL BANK PLC.,CAMBODIA,TCABKHPP,J TRUST ROYAL BANK PLC.,YES,YES,
TCZBTR2A,TURKIYE CUMHURIYETI ZIRAAT BANKASI,TURKEY,TCZBTR2A,TURKIYE CUMHURIYETI ZIRAAT BANKASI,YES,,
TDBMMNUB,TRADE AND DEVELOPMENT BANK OF MONGOLIA,MONGOLIA,TDBMMNUB,TRADE AND DEVELOPMENT BANK OF MONGOLIA,YES,,
TDOMCATT,THE TORONTO DOMINION BANK,CANADA,TDOMCATT,THE TORONTO DOMINION BANK,YES,YES,YES
TDOMGB2L,TORONTO DOMINION BANK,UNITED KINGDOM,TDOMGB2L,THE TORONTO DOMINION BANK,YES,,
TDOMIE2D,TD GLOBAL FINANCE UNLIMITED COMPANY,IRELAND,TDOMIE2D,THE TORONTO DOMINION BANK,YES,,
TDOMSGSG,TORONTO DOMINION BANK,SINGAPORE,TDOMSGSG,THE TORONTO DOMINION BANK,YES,,
TDOMUS33,THE TORONTO-DOMINION BANK,UNITED STATES,TDOMUS33,THE TORONTO DOMINION BANK,YES,,
TEBUTRIS,TURK EKONOMI BANKASI A.S,TURKEY,TEBUTRIS,BNP PARIBAS,YES,YES,YES
TECNBY22,JOINT STOCK COMPANY TECHNOBANK,BELARUS,TECNBY22,JOINT STOCK COMPANY TECHNOBANK,YES,,
TEKFTRIS,BURGAN BANK A.S.,TURKEY,TEKFTRIS,BURGAN BANK K.P.S.C,YES,,
TFSBUS66,TOYOTA FINANCIAL SAVINGS BANK,UNITED STATES,TFSBUS66,TOYOTA FINANCIAL SAVINGS BANK,YES,,
TGBAMTMT,TURKIYE GARANTI BANKASI ANONIM SIRKETI,MALTA,TGBAMTMT,TURKIYE GARANTI BANKASI A.S.,,YES,YES
TGBATRIS,TURKIYE GARANTI BANKASI A.S.,TURKEY,TGBATRIS,TURKIYE GARANTI BANKASI A.S.,YES,YES,YES
TIBKYESA,TADHAMON BANK,YEMEN,TIBKYESA,TADHAMON BANK,YES,,
TJSCRUMM,TRANSKAPITALBANK,RUSSIAN FEDERATION,TJSCRUMM,TRANSKAPITALBANK,YES,,
TMBKTHBK,TMBTHANACHART BANK PUBLIC COMPANY LIMITED,THAILAND,TMBKTHBK,TMBTHANACHART BANK PUBLIC COMPANY LIMITED,YES,,YES
TOTAPTPL,"BANCO SANTANDER TOTTA, SA",PORTUGAL,TOTAPTPL,BANCO SANTANDER S.A,YES,YES,YES
TOWEPAPA,"TOWERBANK INTERNATIONAL, INC.",PANAMA,TOWEPAPA,"TOWERBANK INTERNATIONAL, INC.",YES,,
TPBKHKHH,"TAIPEI FUBON COMMERCIAL BANK CO., LTD. HONG KONG BRANCH",HONG KONG,TPBKHKHH,TAIPEI FUBON COMMERCIAL BANK CO. LTD,YES,,
TPBKTWTP,TAIPEI FUBON COMMERCIAL BANK CO. LTD,"TAIWAN, REPUBLIC OF CHINA",TPBKTWTP,TAIPEI FUBON COMMERCIAL BANK CO. LTD,YES,,
TREFFRP2,TRADITION SECURITIES AND FUTURES,FRANCE,TREFFRP2,TRADITION SECURITIES AND FUTURES,YES,,
TRHBBHBM,TURKIYE HALK BANKASI A.S. BAHRAIN BRANCH,BAHRAIN,TRHBBHBM,TURKIYE HALK BANKASI A.S,YES,YES,YES
TRHBTR2A,TURKIYE HALK BANKASI A.S,TURKEY,TRHBTR2A,TURKIYE HALK BANKASI A.S,YES,YES,YES
TSIBHKHH,"TAISHIN INTERNATIONAL BANK CO., LTD.",HONG KONG,TSIBHKHH,"TAISHIN INTERNATIONAL BANK CO.,LTD.",YES,YES,YES
TSIBTWTP,"TAISHIN INTERNATIONAL BANK CO.,LTD.","TAIWAN, REPUBLIC OF CHINA",TSIBTWTP,"TAISHIN INTERNATIONAL BANK CO.,LTD.",YES,YES,YES
TUBDDEDD,HSBC TRINKAUS UND BURKHARDT GMBH,GERMANY,TUBDDEDD,HSBC BANK PLC,YES,YES,YES
TUNZBEBB,INGENICO FINANCIAL SOLUTIONS S.A.,BELGIUM,TUNZBEBB,INGENICO FINANCIAL SOLUTIONS S.A.,YES,,
TUTNMK22,NLB BANKA AD SKOPJE,NORTH MACEDONIA,TUTNMK22,NOVA LJUBLJANSKA BANKA D.D,YES,YES,
TVBABHBM,TURKIYE VAKIFLAR BANKASI T.A.O. BAHRAIN BRANCH (OBU),BAHRAIN,TVBABHBM,TURKIYE VAKIFLAR BANKASI T.A.O,,YES,YES
TVBATR2A,TURKIYE VAKIFLAR BANKASI T.A.O,TURKEY,TVBATR2A,TURKIYE VAKIFLAR BANKASI T.A.O,YES,YES,YES
